Year,Organization Name,Organization Type,Description of Data Breach,Country,Financial Impacts,Reutational impacts,Method of Breach,Source Of News
2011,Sony,Corporation,"Hacked, exposing customer data",USA,170000000,High,Hacking,TechCrunch
2011,RSA Security,Security Firm,"Hacked, compromising SecurID tokens",USA,66000000,High,Hacking,Reuters
2011,Epsilon,Marketing Firm,Phishing attack on email systems,USA,4000000,Moderate,Phishing,ZDNet
2011,CitiGroup,Bank,Hackers accessed customer accounts,USA,2700000,High,Hacking,BBC News
2011,Sony Pictures,Media Company,"Hacktivist attack, data leaked",USA,3000000,High,Hacking,The Guardian
2011,PBS,Media Organization,"Hacktivist group attack, data leaked",USA,500000,Moderate,Hacking,CNN
2011,Reliance Communications,Telecommunications,Employee data exposed through phishing attack,India,"$500,000",Moderate,Phishing,Times of India
2011,WordPress,Web Platform,"Server attack, user data exposed",USA,1000000,Moderate,Hacking,Mashable
2011,Sega,Gaming Company,"Hacked, exposing user info",Japan,5000000,High,Hacking,IGN
2011,Valve,Gaming Company,"Database hacked, user info exposed",USA,2000000,High,Hacking,Kotaku
2011,Gawker Media,Media Company,"Database hacked, user data leaked",USA,1000000,High,Hacking,Wired
2011,Bethesda Softworks,Gaming Company,"Hacked, exposing customer data",USA,1500000,High,Hacking,Polygon
2011,Acer,Electronics,"Hacked, customer data leaked",Taiwan,2000000,Moderate,Hacking,The Verge
2011,Fox Broadcasting,Media Company,"Hacked, user data exposed",USA,3000000,High,Hacking,The Hollywood Reporter
2011,SBI (State Bank of India),Financial Services,Customer data leaked due to server misconfiguration,India,"$1,000,000",High,Server breach,Business Today
2011,Honda,Automotive,Customer database hacked,Japan,10000000,Moderate,Hacking,Car and Driver
2011,Sutter Health,Healthcare,Stolen unencrypted laptop,USA,5000000,High,Theft,Health IT Security
2011,Stratfor,Security Firm,"Hacked, customer data exposed",USA,3000000,High,Hacking,The Daily Beast
2011,NASDAQ,Stock Exchange,"Hacked, internal systems breached",USA,10000000,High,Hacking,Bloomberg
